"Statistic:   Number of Applicants"
"Variables:   Ethnic Group (Summary Level) , Age Band , Cycle Year"
"Coverage:   Applied before June deadline and UK domiciled"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_021_06.pdf"
 
Cycle Year,Ethnic Group (Summary Level) , Age Band,Number of Applicants,
2006 ,"'Asian' ","'17 and under' ",250
2006 ,"'Asian' ","'18' ",20440
2006 ,"'Asian' ","'19' ",9625
2006 ,"'Asian' ","'20' ",3150
2006 ,"'Asian' ","'21 and over' ",6265
2006 ,"'Black' ","'17 and under' ",100
2006 ,"'Black' ","'18' ",5880
2006 ,"'Black' ","'19' ",3970
2006 ,"'Black' ","'20' ",2195
2006 ,"'Black' ","'21 and over' ",9790
2006 ,"'Mixed' ","'17 and under' ",90
2006 ,"'Mixed' ","'18' ",5715
2006 ,"'Mixed' ","'19' ",2095
2006 ,"'Mixed' ","'20' ",860
2006 ,"'Mixed' ","'21 and over' ",2460
2006 ,"'White' ","'17 and under' ",2025
2006 ,"'White' ","'18' ",190365
2006 ,"'White' ","'19' ",46090
2006 ,"'White' ","'20' ",17915
2006 ,"'White' ","'21 and over' ",60065
2006 ,"'Other' ","'17 and under' ",35
2006 ,"'Other' ","'18' ",1790
2006 ,"'Other' ","'19' ",940
2006 ,"'Other' ","'20' ",375
2006 ,"'Other' ","'21 and over' ",1210
2006 ,"'Unknown' ","'17 and under' ",100
2006 ,"'Unknown' ","'18' ",2310
2006 ,"'Unknown' ","'19' ",925
2006 ,"'Unknown' ","'20' ",370
2006 ,"'Unknown' ","'21 and over' ",1945
2007 ,"'Asian' ","'17 and under' ",230
2007 ,"'Asian' ","'18' ",20165
2007 ,"'Asian' ","'19' ",9895
2007 ,"'Asian' ","'20' ",3260
2007 ,"'Asian' ","'21 and over' ",6440
2007 ,"'Black' ","'17 and under' ",125
2007 ,"'Black' ","'18' ",6635
2007 ,"'Black' ","'19' ",4460
2007 ,"'Black' ","'20' ",2610
2007 ,"'Black' ","'21 and over' ",10425
2007 ,"'Mixed' ","'17 and under' ",100
2007 ,"'Mixed' ","'18' ",6345
2007 ,"'Mixed' ","'19' ",2600
2007 ,"'Mixed' ","'20' ",1000
2007 ,"'Mixed' ","'21 and over' ",2685
2007 ,"'White' ","'17 and under' ",2030
