"Statistic:   Number of Applicants"
"Variables:   Age Band , Applicant Domicile (UK / EU / Not EU) , Cycle Year"
"Coverage:   Applied before June deadline"
"For a list of key definitions and descriptions please refer to the PDF file provided - EOC_data_resource_2016-DR2_012_06.pdf"
 
Cycle Year,Age Band , Applicant Domicile (UK / EU / Not EU),Number of Applicants,
2006 ,"'17 and under' ","'UK' ",2605
2006 ,"'17 and under' ","'EU (excluding UK)' ",2345
2006 ,"'17 and under' ","'Not EU' ",2275
2006 ,"'18' ","'UK' ",226500
2006 ,"'18' ","'EU (excluding UK)' ",7370
2006 ,"'18' ","'Not EU' ",10100
2006 ,"'19' ","'UK' ",63650
2006 ,"'19' ","'EU (excluding UK)' ",5555
2006 ,"'19' ","'Not EU' ",9355
2006 ,"'20' ","'UK' ",24865
2006 ,"'20' ","'EU (excluding UK)' ",3620
2006 ,"'20' ","'Not EU' ",5425
2006 ,"'21 and over' ","'UK' ",81735
2006 ,"'21 and over' ","'EU (excluding UK)' ",8870
2006 ,"'21 and over' ","'Not EU' ",12925
2007 ,"'17 and under' ","'UK' ",2635
2007 ,"'17 and under' ","'EU (excluding UK)' ",2580
2007 ,"'17 and under' ","'Not EU' ",2560
2007 ,"'18' ","'UK' ",227795
2007 ,"'18' ","'EU (excluding UK)' ",8200
2007 ,"'18' ","'Not EU' ",11270
2007 ,"'19' ","'UK' ",77035
2007 ,"'19' ","'EU (excluding UK)' ",7105
2007 ,"'19' ","'Not EU' ",10170
2007 ,"'20' ","'UK' ",26840
2007 ,"'20' ","'EU (excluding UK)' ",4145
2007 ,"'20' ","'Not EU' ",5735
2007 ,"'21 and over' ","'UK' ",85000
2007 ,"'21 and over' ","'EU (excluding UK)' ",9275
2007 ,"'21 and over' ","'Not EU' ",12375
2008 ,"'17 and under' ","'UK' ",2660
2008 ,"'17 and under' ","'EU (excluding UK)' ",2390
2008 ,"'17 and under' ","'Not EU' ",2890
2008 ,"'18' ","'UK' ",240020
2008 ,"'18' ","'EU (excluding UK)' ",8985
2008 ,"'18' ","'Not EU' ",12395
2008 ,"'19' ","'UK' ",83190
2008 ,"'19' ","'EU (excluding UK)' ",7735
2008 ,"'19' ","'Not EU' ",11535
2008 ,"'20' ","'UK' ",32655
2008 ,"'20' ","'EU (excluding UK)' ",4235
2008 ,"'20' ","'Not EU' ",6455
2008 ,"'21 and over' ","'UK' ",101555
2008 ,"'21 and over' ","'EU (excluding UK)' ",8565
2008 ,"'21 and over' ","'Not EU' ",12845
2009 ,"'17 and under' ","'UK' ",2670
2009 ,"'17 and under' ","'EU (excluding UK)' ",2695
2009 ,"'17 and under' ","'Not EU' ",3175
2009 ,"'18' ","'UK' ",253535
2009 ,"'18' ","'EU (excluding UK)' ",10275
2009 ,"'18' ","'Not EU' ",13520
2009 ,"'19' ","'UK' ",90910
2009 ,"'19' ","'EU (excluding UK)' ",9600
2009 ,"'19' ","'Not EU' ",12205
2009 ,"'20' ","'UK' ",35555
2009 ,"'20' ","'EU (excluding UK)' ",4970
2009 ,"'20' ","'Not EU' ",7095
